ДОСТУПНЫЕ СИМВОЛЫ ДЛЯ ТОРГОВЛИ (WHITELISTED)
======================================================================

Всего символов: 658

ФОРМАТ: SYMBOL | BASE/QUOTE | MIN ORDER AMOUNT
----------------------------------------------------------------------

0GUSDT               | 0G    /USDT   | Min: $5
1INCHUSDT            | 1INCH /USDT   | Min: $5
2ZUSDC               | 2Z    /USDC   | Min: $5
2ZUSDT               | 2Z    /USDT   | Min: $5
A8USDT               | A8    /USDT   | Min: $5
AAPLXUSDT            | AAPLX /USDT   | Min: $5
AAVEUSDC             | AAVE  /USDC   | Min: $5
AAVEUSDT             | AAVE  /USDT   | Min: $5
ACHUSDT              | ACH   /USDT   | Min: $5
ACSUSDT              | ACS   /USDT   | Min: $5
ADAEUR               | ADA   /EUR    | Min: $1
ADAMNT               | ADA   /MNT    | Min: $3
ADAUSDC              | ADA   /USDC   | Min: $5
ADAUSDT              | ADA   /USDT   | Min: $5
AEROUSDT             | AERO  /USDT   | Min: $5
AEVOUSDT             | AEVO  /USDT   | Min: $5
AFCUSDT              | AFC   /USDT   | Min: $5
AGIUSDT              | AGI   /USDT   | Min: $5
AGLDUSDT             | AGLD  /USDT   | Min: $5
AIOZUSDT             | AIOZ  /USDT   | Min: $5
AIXBTUSDC            | AIXBT /USDC   | Min: $5
AIXBTUSDT            | AIXBT /USDT   | Min: $5
ALCHUSDT             | ALCH  /USDT   | Min: $5
ALGOBTC              | ALGO  /BTC    | Min: $0.00005
ALGOUSDC             | ALGO  /USDC   | Min: $5
ALGOUSDT             | ALGO  /USDT   | Min: $5
ALTUSDT              | ALT   /USDT   | Min: $5
AMIUSDT              | AMI   /USDT   | Min: $5
AMZNXUSDT            | AMZNX /USDT   | Min: $5
ANIMEUSDT            | ANIME /USDT   | Min: $5
ANKRUSDT             | ANKR  /USDT   | Min: $5
AOUSDT               | AO    /USDT   | Min: $5
APEUSDC              | APE   /USDC   | Min: $5
APEUSDT              | APE   /USDT   | Min: $5
APEXMNT              | APEX  /MNT    | Min: $3
APEXUSDC             | APEX  /USDC   | Min: $5
APEXUSDT             | APEX  /USDT   | Min: $5
APTUSDC              | APT   /USDC   | Min: $5
APTUSDT              | APT   /USDT   | Min: $5
ARBUSDC              | ARB   /USDC   | Min: $5
ARBUSDT              | ARB   /USDT   | Min: $5
ARKMUSDT             | ARKM  /USDT   | Min: $5
ARTUSDT              | ART   /USDT   | Min: $5
ARTYUSDT             | ARTY  /USDT   | Min: $5
ARUSDC               | AR    /USDC   | Min: $5
ARUSDT               | AR    /USDT   | Min: $5
ASRRUSDT             | ASRR  /USDT   | Min: $5
ASTERUSDT            | ASTER /USDT   | Min: $5
ATHUSDT              | ATH   /USDT   | Min: $5
ATOMUSDC             | ATOM  /USDC   | Min: $5
ATOMUSDT             | ATOM  /USDT   | Min: $5
AURORAUSDT           | AURORA/USDT   | Min: $5
AUSDT                | A     /USDT   | Min: $5
AVAILUSDT            | AVAIL /USDT   | Min: $5
AVAUSDT              | AVA   /USDT   | Min: $5
AVAXEUR              | AVAX  /EUR    | Min: $1
AVAXUSDC             | AVAX  /USDC   | Min: $5
AVAXUSDT             | AVAX  /USDT   | Min: $5
